Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Energy,All GHG,MtCO₂e,37636.1,37603.22,36777.63,36188.89,36173.7,36279.47,36184.99,35563.41,35154.37,34193.57,32273.72,32761.33,32502.57,31397.94,30469.42,29388.57,28104.1,26896.94,26575.95,26214.39,25389.87,25257.77,25075.28,24656.11,24150.88,23501.77,23395.58,23265.41,23365.41,23244.24
World,CAIT,Electricity/Heat,All GHG,MtCO₂e,15834.64,15875.48,15416.96,15081.51,15059.71,15336.57,15390.22,15120.13,14819.52,14211.19,13313.89,13527.5,13499.99,12930.23,12435.52,12058.35,11670.52,11048.99,10861.04,10597.94,10172.97,10123.51,9895.91,9624.07,9268.36,9074.97,8978.95,8929.03,8768.7,8627.95
China,CAIT,Energy,All GHG,MtCO₂e,10618.71,10432.77,10025.78,9806.69,9860.68,9959.18,9958.66,9527.48,9274.74,8485.09,7736.88,7247.41,7042.44,6496.1,5904.05,5189.24,4465.03,3862.22,3594.68,3425.69,3236.82,3340.24,3252.67,3198.31,3227.72,2899.43,2787.71,2571.87,2474.85,2360.68
World,CAIT,Transportation,All GHG,MtCO₂e,8434.96,8417.75,8278.48,8073.9,7923.23,7685.67,7558.39,7363.53,7304.02,7188.99,6895.3,7035.93,7028.8,6817.33,6661.08,6517.0,6228.07,6100.43,5945.73,5913.67,5731.34,5566.9,5440.03,5360.38,5148.97,5012.39,4913.8,4871.85,4764.85,4725.54
China,CAIT,Electricity/Heat,All GHG,MtCO₂e,5616.35,5405.58,5060.66,4721.35,4616.44,4712.49,4766.22,4472.58,4345.31,3850.79,3472.68,3224.17,3186.52,2912.66,2565.02,2387.6,2189.25,1849.39,1669.17,1582.82,1439.69,1416.39,1334.53,1336.76,1191.43,1088.0,1002.36,881.91,798.08,728.78
United States,CAIT,Energy,All GHG,MtCO₂e,5246.37,5372.73,5177.8,5239.7,5355.68,5471.15,5435.44,5288.81,5498.44,5700.68,5448.71,5847.12,6014.44,5922.68,6020.2,6001.85,5921.98,5856.22,6017.13,6045.06,5876.78,5863.62,5817.29,5546.45,5387.41,5334.97,5255.97,5147.1,5073.75,5112.27
European Union (27),CAIT,Energy,All GHG,MtCO₂e,2731.36,2869.38,2935.99,2915.36,2905.92,2845.27,2998.5,3073.68,3128.1,3225.42,3137.01,3371.99,3441.6,3486.61,3479.56,3497.81,3497.94,3405.01,3412.51,3352.95,3347.54,3407.89,3419.04,3492.09,3389.17,3336.96,3357.54,3412.3,3535.21,3569.46
India,CAIT,Energy,All GHG,MtCO₂e,2422.24,2421.71,2305.08,2177.18,2144.32,2133.15,1963.54,1907.68,1762.14,1668.13,1574.49,1435.51,1349.63,1228.5,1152.94,1104.26,1032.72,1006.61,975.46,960.19,924.19,863.68,848.91,805.05,770.77,718.91,685.7,661.97,645.15,602.05
Russia,CAIT,Energy,All GHG,MtCO₂e,2208.96,2152.13,2057.55,2018.42,2022.95,2033.7,2057.77,2101.63,2132.52,2046.1,1957.19,2080.47,2083.36,2078.21,2039.29,2013.26,2015.91,1942.21,1938.61,1926.92,1881.9,1835.18,1832.66,1958.53,1995.03,2054.47,2262.92,2430.12,2584.63,2639.05
United States,CAIT,Electricity/Heat,All GHG,MtCO₂e,1965.56,2105.01,2072.96,2154.19,2243.24,2386.49,2388.77,2370.17,2499.53,2620.93,2499.98,2731.6,2801.71,2734.98,2803.76,2754.54,2720.1,2692.12,2825.56,2814.15,2782.07,2814.45,2756.79,2517.46,2436.26,2373.44,2348.06,2289.28,2191.74,2171.63
